"Rank","Expert Name","QB","RB","WR","TE","K","DST","IDP"
"1","Chris Dell - Betting Predators","58","3","6","31","29","98","-"
"2","Dave Kluge - Footballguys","51","37","10","2","-","-","-"
"3","Dan Larocca - Rotoballer","59","15","18","106","7","80","-"
"4","Sean Koerner - The Action Network","60","23","42","64","88","109","-"
"5","Dalton Del Don - Yahoo","123","1","137","44","28","142","-"
"6","Jeff Bell - Footballguys","124","88","2","130","26","115","-"
"7","Ben Wasley - The Fantasy First Down","111","12","24","104","111","7","9"
"8","Davis Mattek - Underdog Fantasy","169","2","111","40","-","-","-"
"9","Matthew Hill - DataForce Fantasy Football","107","80","14","7","127","71","-"
"10","Mick Ciallela - Fantrax","53","35","85","33","33","120","-"
"11","Chris Raybon - The Action Network","73","46","32","51","5","92","-"
"12","Richard King - King Fantasy Sports","19","52","76","126","52","100","24"
"13","Benjamin Klotz - Touchdown Squad","44","16","123","34","94","116","-"
"14","Dan Clasgens - Get Sports Info","186","60","3","135","74","108","-"
"15","Joey Wright - Footballguys","29","44","72","117","37","2","18"
"16","Nick Bretwisch - Win Daily Sports","3","147","59","83","-","70","-"
"17","Nick Mariano - RotoBaller","91","11","30","192","90","133","-"
"18","Kev Wheeler - Wheel Route FF","45","20","108","82","151","138","-"
"19","Jody Smith - FullTime Fantasy","209","4","19","121","112","46","7"
"20","Wolf of Roto Street - Roto Street Journal","93","13","117","14","-","165","-"
"21","Des Bieler - The Washington Post","203","6","66","13","31","154","-"
"22","Bradley Stalder - Player Profiler","6","69","131","80","57","6","13"
"23","Jeff Ratcliffe - FTN","118","48","8","167","59","30","-"
"24","Donald Gibson - FantasyPros","24","128","7","159","-","64","-"
"25","Scott Pianowski - Yahoo","114","67","73","3","97","55","-"
"26","Bobby LaMarco - Razzball","99","55","15","149","113","52","-"
"27","Joe Bond - Fantasy Six Pack","159","29","40","61","18","20","-"
"28","Sam Hoppen - FantasyPros","85","39","98","36","120","107","-"
"29","Dave Major - XN Sports","116","31","20","187","-","-","-"
"30","Andy Singleton - Expand The Boxscore","133","25","44","137","71","78","19"
"31","Kevin Hanson - EDSFootball","68","18","114","85","102","54","-"
"32","David Zach - FantasyPros","98","14","146","22","-","-","-"
"33","Steven Pintado - The Fantasy Coaches","150","26","77","43","-","-","-"
"34","Mike Maher - FantasyPros","79","27","67","182","12","43","-"
"35","Jared Smola - Draft Sharks","64","36","46","215","27","63","-"
"36","Chris Meaney - FTN","183","93","9","20","-","132","-"
"37","Justin Jaksa - Dr. Roto","57","121","41","28","118","23","-"
