"Rank","Expert Name","QB","RB","WR","TE","K","DST","IDP"
"1","Jake Ciely - The Athletic","16","1","41","23","-","55","-"
"2","Allie Fontana - Fighting Chance Fantasy","20","16","7","16","8","35","-"
"3","Jason Moore - The Fantasy Footballers","44","6","21","9","-","-","-"
"4","Sean Koerner - The Action Network","3","24","57","18","32","5","-"
"5","Rob Waziak - Fantasy Life","64","3","11","36","13","98","-"
"6","Pat Fitzmaurice - FantasyPros","49","18","12","22","47","48","-"
"7","Jason Longfellow - Razzball","34","7","63","53","9","7","12"
"8","Site Rankings - FullTime Fantasy","18","9","82","32","2","38","15"
"9","Mike Wright - The Fantasy Footballers","41","26","37","5","-","-","-"
"10","Kev Wheeler - Wheel Route FF","36","11","58","47","20","43","-"
"11","Doug Orth - FFToday","10","5","60","111","-","-","-"
"12","Joe Bond - Fantasy Six Pack","19","39","26","20","56","81","-"
"13","Jeff Boggis - Fantasy Football Empire","14","22","69","19","4","25","10"
"14","Brett Talley - Fantasy Alarm","35","28","33","29","94","1","-"
"15","Ken Zalis - FantasyPros","37","54","14","7","29","45","-"
"16","Justin Boone - theScore","72","29","6","35","25","16","-"
"17","Brendan Donahue - Sharp Football Analysis","29","31","50","28","-","-","-"
"18","Joseph Dolan - Fantasy Points","116","12","4","14","-","-","-"
"19","Kaz Kalita - Big Guy Fantasy Sports","69","27","20","12","45","26","-"
"20","Staff Rankings - Fantasy Knuckleheads","96","33","15","2","41","58","-"
"21","Richard Savill - Fantasy Six Pack","47","15","27","97","55","8","-"
"22","Tim McCullough - Fantasy Six Pack","86","23","17","33","44","53","7"
"23","Jeff Ratcliffe - FTN","23","51","46","24","22","14","4"
"24","Scott Pianowski - Yahoo","82","100","1","4","51","110","-"
"25","Marc Caviglia - Bruno Boys","30","14","74","82","14","70","-"
"26","Dan Clasgens - Get Sports Info","48","60","13","26","26","18","-"
"27","Brad Richter - DailyOverlay","56","2","95","72","99","3","-"
"28","Dan Harris - FantasyPros","9","68","42","44","21","108","-"
"29","","6","32","96","56","19","33","13"
"30","Staff Rankings - Pyromaniac","55","20","68","46","33","28","-"
"31","Chris Meaney - FTN","26","21","107","10","82","83","-"
"32","Andy Holloway - The Fantasy Footballers","27","35","31","106","-","-","-"
"33","John Paulsen - 4for4.com","51","34","39","78","-","-","-"
"34","Heath Cummings - CBS Sports","2","90","44","62","34","99","-"
"35","Tyler Loechner - FTN","31","67","24","42","28","78","-"
"36","Matthew Hill - DataForce Fantasy Football","46","77","29","3","-","-","-"
"37","Frank Stampfl - CBS Sports","33","75","35","37","10","79","-"
"38","Nick Mariano - RotoBaller","40","73","25","38","5","24","-"
"39","Ben Standig - The Athletic","28","64","56","54","31","36","-"
"40","John Halpin - Carolina Panthers Radio Network","17","76","8","120","52","32","-"
"41","Peter Rogers - NerdBall Fantasy Football","54","53","49","76","100","73","-"
"42","Rich Piazza - Fantasy Shed","117","37","28","1","36","44","17"
"43","Jon Collins - Fantasy Sports LR","73","17","71","95","50","65","-"
"44","Dominick Petrillo - The Athletic","62","10","83","114","85","29","-"
"45","Jeff Paur - RTSports","8","85","80","15","72","63","-"
"46","Dalton Del Don - Yahoo","12","93","55","64","84","101","-"
"47","Scott Engel - RotoBaller","102","87","3","84","49","95","-"
"48","Kevin Hanson - EDSFootball","45","65","51","58","53","27","-"
"49","Kevin Roberts - Breaking Football","60","42","38","115","24","74","-"
"50","Anthony Staggs - 4for4","68","30","79","69","1","37","-"
"51","Mike Tagliere - FantasyPros","78","13","81","110","101","77","-"
"52","Jon Diment - Dynasty Nerds","65","47","73","52","-","-","-"
"53","Greg Smith - Superflex.Guide","21","57","89","92","17","82","-"
"54","Mauricio Gutierrez - Estadio Fantasy","87","38","77","49","3","56","20"
"55","Christian Brito - Eat.Sleep.Fantasy","4","86","99","77","104","106","-"
"56","Kevin English - Draft Sharks","106","116","2","27","39","39","-"
"57","Jody Smith - FullTime Fantasy","52","62","65","88","54","47","-"
"58","George Banko - Fantasy Football Helpers","22","52","114","30","61","19","-"
"59","Adam Sutton - Big Guy Fantasy Sports","32","80","62","103","78","109","-"
"60","Site Rankings - FFToday","108","36","54","73","71","17","-"
"61","Dave Major - XN Sports","85","50","88","13","-","-","-"
"62","Heath Capps - Fake Teams","7","95","103","25","79","21","-"
"63","Scott Smith - RotoViz","63","89","45","60","-","-","-"
"64","Chet Gresham - SB Nation","53","25","90","122","88","23","-"
"65","Staff Rankings - The Fake Football","42","49","101","93","74","89","-"
"66","Derek Lofland - FantasyPros","43","4","122","116","30","105","-"
"67","Patrick Thorman - Establish the Run","91","66","59","65","38","6","-"
"68","Chris Meyers - Athlon Sports","61","45","98","89","-","-","-"
"69","Des Bieler - The Washington Post","90","69","78","17","62","92","-"
"70","Matt Schauf - Draft Sharks","24","58","115","68","91","2","5"
"71","Brent Namejko - Fantasy Smack Talk","15","111","32","108","-","68","-"
"72","Pierre Camus - Fantasy Endgame","110","72","40","34","15","102","14"
"73","David Gonos - SoCalledFanEx","95","46","97","40","96","87","-"
"74","Seth Klein - Fantrax","74","112","22","39","-","84","-"
"75","Ryan Noonan - 4for4","50","106","43","91","63","94","-"
"76","Raymond Summerlin - Rotoworld","79","78","76","85","-","88","-"
"77","Brandon Funston - The Athletic","70","71","106","31","-","100","-"
"78","Staff Rankings - QB List","71","44","87","118","48","49","2"
"79","Walter Cherepinsky - Walter Football","5","81","116","102","42","96","-"
"80","Jared Smola - Draft Sharks","119","79","16","41","80","10","-"
"81","Jamey Eisenberg - CBS Sports","104","88","48","61","68","91","-"
"82","Mike Harmon - Swollen Dome","94","110","53","6","18","61","-"
"83","George Kurtz - RotoExperts","112","61","66","71","70","76","-"
"84","Craig Phillips - FF Prophet","83","55","113","51","83","-","-"
"85","Matt Camp - Bleacher Report","120","41","75","74","87","40","-"
"86","Matt De Lima - DraftKings","38","121","36","99","6","12","21"
"87","Jeff Johnson - Fantasy Insiders","109","117","10","45","-","69","-"
"88","Liz Loza - LizLoza_FF","113","70","9","125","57","50","-"
"89","Donald Gibson - FantasyPros","92","92","104","8","67","9","-"
"90","Emil Kadlec - Football Diehards","76","120","18","81","16","11","-"
"91","Zach Greubel - Gridiron Experts","125","56","61","43","-","-","-"
"92","KJ - Fantasy Team Advice","13","130","19","87","97","-","-"
"93","Addison Witt - Fantasy Team Advice","57","109","47","123","11","71","-"
"94","Andy Behrens - Yahoo","101","118","5","101","89","90","-"
"95","Michael Beller - The Athletic","89","84","94","94","95","4","-"
"96","Michael Tomlin - Fantasy Six Pack","81","119","23","104","-","-","-"
"97","Dale DeMott - Eat.Sleep.Fantasy","11","40","128","127","77","42","-"
"98","Jason Willan - Gridiron Experts","77","99","93","112","43","60","-"
"99","Tozzi Brothers - Legion Report","114","107","64","48","-","-","-"
"100","Wayne Bretsky - BretskyBall","88","83","91","121","76","34","-"
"101","Adam Pfeifer - FTN","128","19","111","83","-","62","-"
"102","Eric Mack - Fantasy Fatcast","121","91","72","66","64","104","-"
"103","James Rapien - Get Sports Info","93","74","112","100","23","59","-"
"104","Anthony Cervino - FF Faceoff","75","129","30","55","40","57","-"
"105","Michael Florio - Rotoballer","103","123","52","57","69","80","-"
"106","Kelly Smelser - Punch Drunk Wonderland","25","82","130","67","46","51","19"
"107","Rudy Gamble - Razzball","59","114","110","79","27","54","22"
"108","Mitchell Renz - Gridiron Experts","98","105","105","80","73","66","-"
"109","Dave Richard - CBS Sports","127","115","34","11","60","46","-"
"110","Andrew Ferris - Fantasy Hot Read","80","103","108","109","-","41","-"
"111","David Biggs - Drink Five","66","126","100","70","66","85","-"
"112","Brad Evans - Bally Sports","130","98","70","50","75","103","-"
"113","Andy Singleton - Expand The Boxscore","100","122","86","90","58","13","-"
"114","Scott Whitfield - Roto Rankings","115","101","102","96","86","64","-"
"115","Dave McKay - The Fantasy Sports Brain","118","59","123","98","59","15","18"
"116","Ryan Hodge  - FantasyLabs","131","48","119","63","81","75","-"
"117","Chet Gresham - WalterFootball","67","94","129","113","65","-","-"
"118","Chris Heil - Fantasy Sports Rants","105","102","118","119","90","67","-"
"119","Site Rankings - Gridiron Experts","111","124","67","117","103","97","11"
"120","James Hatfield - Hatty Waiver Wire Guru","107","63","125","126","37","30","-"
"121","Corey Parson - Sports Illustrated","133","97","85","21","92","107","8"
"122","Russell Clay - Daily Fantasy Cafe","123","43","127","124","-","-","-"
"123","Kevin Steele - The Fantasy Authority","97","108","126","107","35","20","-"
"124","Jason Sablich - 5th Down Fantasy","84","128","120","59","-","52","-"
"125","Smitty - TheFantasyFootballShow","129","113","117","86","-","-","-"
"126","Frankie Soler - RotoBaller","99","127","121","128","93","86","-"
"127","Muntradamus - Beast Dome","122","125","109","129","12","72","16"
"128","Huseyin Aksu - Fantasy Couch","134","96","124","75","98","22","-"
"129","Matthew Bowe - Razzball","132","131","92","105","102","93","-"
"130","Kyle Holden - Dynasty League Football","124","104","131","130","7","31","-"
"-","Walton Spurlin - FantasyPros","-","-","-","-","-","-","3"
"-","Ryan Sitzmann - The IDP Guru","-","-","-","-","-","-","1"
"-","Site Rankings - 4for4","-","-","-","-","-","-","9"
"-","Mike Monk - IDP Monk","-","-","-","-","-","-","6"
"-","Anthony Amico - In the Aggregate","1","8","84","-","-","-","-"
"-","Ryan Fowler - Independent","39","-","-","-","-","-","-"
"-","Evan Silva - Establish the Run","58","-","-","-","-","-","-"
"-","Bob Lung - Big Guy Fantasy Sports","126","-","-","-","-","-","-"
""
""
