"Rank","Expert Name","QB","RB","WR","TE","K","DST","IDP"
"1","Billy Muzio - PlayerProfiler.com","7","10","91","97","-","106","-"
"2","Matt Donnelly - Dynasty Vipers","13","19","27","143","16","110","12"
"3","Rich Piazza - Fantasy Shed","1","201","3","152","129","87","-"
"4","Brad Evans - Bally Sports","11","104","4","208","-","-","-"
"5","Matthew Hill - DataForce Fantasy Football","8","12","147","45","-","-","-"
"6","Liz Loza - LizLoza_FF","83","17","8","123","141","147","-"
"7","Drew DeLuca - QB List","63","3","119","3","37","150","-"
"8","Jody Smith - FullTime Fantasy","6","131","62","11","26","16","-"
"9","Lee Wehry - FantasyPros","76","167","1","18","14","157","-"
"10","Nick Zylak - Fantasy Football Advice","84","88","2","59","63","9","-"
"11","Mike Randle - FTN","113","1","87","186","-","-","-"
"12","Jeff Boggis - Fantasy Football Empire","77","41","10","80","21","29","19"
"13","Scott Engel - RotoBaller","200","6","17","1","109","88","22"
"14","Rudy Gamble - Razzball","10","149","35","114","108","3","28"
"15","Andy Behrens - Yahoo","107","37","5","165","23","155","-"
"16","Sean Koerner - The Action Network","92","11","48","14","32","65","-"
"17","Matthew Williams - The Game Day","147","8","13","115","72","84","-"
"18","Justin Weigal - Fantasy Sharks","41","24","104","57","83","42","-"
"19","Kevin English - Draft Sharks","34","44","101","61","18","35","-"
"20","Seth Miller - Crossroads Fantasy Football","54","28","31","160","117","-","-"
"21","Ryan Noonan - 4for4","56","134","6","147","-","-","-"
"22","Dan McLellan - WBLZ Media","81","16","58","60","28","49","-"
"23","Lenny Pappano - Draft Sharks","50","53","68","95","19","14","-"
"24","Justin Sablich - 5th Down Fantasy","94","50","21","75","104","55","-"
"25","Rob Waziak - Fantasy Life","87","18","64","58","4","79","-"
"26","Jared Smola - Draft Sharks","66","75","20","111","6","24","-"
"27","Michael Hauff - FF Faceoff","18","204","11","20","137","123","-"
"28","Raju Byfield - WinMyFantasyLeague","38","103","124","5","-","-","11"
"29","Jacob Hubman - The Fantasy Headliners","5","168","116","74","121","144","-"
"30","Scott Youngson - Pitcher List","31","35","142","56","112","15","-"
"31","Chalk - The Undroppables","15","21","146","207","75","118","-"
