"Rank","Expert Name","QB","RB","WR","TE","K","DST","IDP"
"32","Scott Pianowski - Yahoo","90","129","12","49","93","127","-"
"33","Justin Dodds - SleeperWire","69","36","75","103","-","-","-"
"34","Mick Ciallela - Fantrax","82","85","33","42","98","51","-"
"35","Jeff Smith - FantasyData","75","29","94","76","-","-","-"
"36","Dave Major - XN Sports","99","56","38","62","-","-","-"
"37","Francisco (Chato) Romero - Estadio Fantasy","102","20","46","154","58","141","-"
"38","Site Rankings - The FF Ghost","156","4","85","68","-","-","5"
"39","Matthew Freedman - Fantasy Life","164","31","40","10","11","-","-"
"40","Nick Spencer - Fantasy Six Pack","85","34","54","130","44","66","-"
"41","Michelle Magdziuk - BallBlast Podcast","26","203","9","70","-","153","-"
"42","Jacob Dunne - SportsEthos","111","15","144","2","24","134","-"
"43","Jeff Ratcliffe - FTN","125","22","73","33","126","34","-"
"44","Tommy Garrett - SharpLinkHQ","133","115","14","24","134","105","-"
"45","Chris Raybon - The Action Network","176","47","29","19","80","136","-"
"46","Jon Collins - Fantasy Sports LR","117","7","123","87","-","-","-"
"47","Matthew Betz - The Fantasy Footballers","29","176","26","94","3","57","-"
"48","Jason Willan - Gridiron Experts","40","111","61","166","29","62","-"
"49","Clayton Cadieux - Fantasy Football From Up North","161","40","19","136","10","133","-"
"50","Andy Singleton - Expand The Boxscore","59","68","128","25","54","37","16"
"51","Sosa Kremenjas - Pro Football Focus","79","109","60","15","-","89","-"
"52","Smitty - TheFantasyFootballShow","23","48","151","171","-","47","-"
"53","Benjamin Klotz - Touchdown Squad","39","150","109","17","114","1","-"
"54","Mike MacGregor - Draft Buddy","80","93","28","175","74","67","-"
"55","Zach Brunner - FlurrySports","70","74","103","52","52","100","-"
"56","Jonathan Stone - The Hateful 8","46","137","106","38","76","28","-"
"57","Matt De Lima - DraftKings","139","14","108","91","41","97","8"
"58","Matt Marchese - Sportsnet","14","182","50","174","-","-","-"
"59","Dalton Del Don - Yahoo","65","96","55","158","107","120","-"
"60","Andrew Erickson - FantasyPros","197","43","32","30","142","99","-"
"61","Ellis Johnson - Rotoballer","60","126","15","218","46","10","-"
"62","Anthony Cervino - FF Faceoff","174","23","71","41","-","-","-"
"63","Jordan Eisen - Field of Vision Sports","49","146","65","105","35","152","-"
"64","Garret Price - Dynasty Nerds","44","133","81","164","-","-","-"
"65","Dennis Sosic - Fantasy Six Pack","149","25","93","66","30","48","4"
"66","Chris Kennedy - Dr. Roto","145","87","36","44","103","94","-"
"67","Donald Gibson - FantasyPros","97","77","77","101","-","117","-"
"68","Derek Dennington - The Good Old Boys","4","141","199","55","-","-","-"
"69","Kyle Krajewski - First Seed Sports","45","123","130","71","-","73","-"
"70","Nick Ercolano - BDGE","178","54","53","46","69","121","-"
"71","Pat Fitzmaurice - FantasyPros","150","26","67","153","59","140","-"
"72","M. Starks Powell - New Life Fantasy","131","57","86","72","-","-","-"
"73","Marc Caviglia - Bruno Boys","47","161","76","113","127","113","-"
"74","Michael Beller - The Athletic","58","86","141","50","101","76","-"
"75","Dan Clasgens - Get Sports Info","206","39","30","106","2","103","-"
"76","Tyler Orginski - JWB Fantasy Football","188","81","16","135","-","-","-"
"77","Ken Zalis - FantasyPros","167","124","24","32","73","82","-"
"78","Jeff Paur - RTSports","37","113","160","39","87","69","-"
"79","DALTON KATES - APEX Fantasy Leagues","187","52","63","63","-","-","-"
"80","Jacob Gibbs - SportsLine","160","58","59","146","-","-","-"
"81","Tim Jablonski - The Hateful 8","172","62","78","51","61","59","-"
"82","Bill Enright - Sports Illustrated","179","82","57","36","-","-","-"
"83","Kevin Hanson - EDSFootball","136","130","41","54","-","-","-"
"84","Jake Ciely - The Athletic","88","153","51","98","-","43","-"
"85","Jeff Bell - Footballguys","71","122","115","117","149","-","-"
"86","Muntradamus - Beast Dome","32","102","167","104","22","45","3"
"87","Zach Greubel - Gridiron Experts","194","33","84","99","-","-","-"
"88","Jarad Evans - Pro Football Focus","171","71","95","40","132","53","-"
"89","Guilherme Gianni - Fantasy Futebolista","123","30","154","16","95","27","-"
"90","Elisha Twerski - USA Today","196","55","74","77","13","52","-"
"91","James Bryer - Gridiron Experts","43","108","174","31","-","-","-"
"92","Joe Bond - Fantasy Six Pack","157","90","100","27","79","93","-"
"93","Richard Cooling - 5 Yard Rush","64","142","52","205","139","23","-"
"94","Andy Holloway - The Fantasy Footballers","137","70","97","122","-","-","-"
"95","Alex Godshall - Hooyah Sports","165","76","47","161","-","81","-"
"96","Staff Rankings - QB List","199","27","89","131","71","2","-"
"97","Richard Savill - Fantasy Six Pack","134","128","117","8","131","54","-"
"98","Husein Shabazz - SleeperWire","153","13","155","79","-","-","-"
"99","Pierre Camus - Fantasy Endgame","27","64","182","204","122","158","24"
"100","Frank Stampfl - CBS Sports","169","63","111","102","-","70","-"
"101","Fantasy BR - Staff Rankings","93","162","105","21","45","31","1"
"102","Elvin Ryan - FantasyPros","21","112","192","129","120","17","-"
"103","Steven Pintado - The Fantasy Coaches","73","110","113","209","-","-","-"
"104","David Biggs - Drink Five","126","160","43","93","115","124","-"
"105","Dylan Chappine - Wolf Sports","2","199","181","141","64","19","-"
"106","Scott Whitfield - Roto Rankings","151","125","82","96","-","-","-"
"107","Adam Murfet - 5 Yard Rush","28","216","42","172","36","46","27"
"108","Andersen Pickard - Prime Time Sports Talk","106","187","44","22","123","41","-"
"109","Todd D Clark - The Fantasy Fix","33","67","191","191","128","-","-"
"110","Kyle Yates - Yates Fantasy Football","182","151","37","65","53","130","-"
"111","Kevin Tompkins - Rotoballer","152","99","69","188","78","86","-"
"112","Nathan Jahnke - Pro Football Focus","203","89","102","23","88","122","-"
"113","Matt Camp - Bleacher Report","109","78","140","150","-","131","-"
"114","Anthony Staggs - 4for4","104","196","45","12","-","-","-"
"115","Wolf of Roto Street - Roto Street Journal","132","159","25","202","147","-","-"
"116","Christian Welch - The Fantasy Authority","51","138","165","64","-","-","-"
"117","Kev Wheeler - Wheel Route FF","141","117","66","195","20","11","-"
"118","Kevin Steele - The Fantasy Authority","175","61","120","176","-","-","-"
"119","Dale DeMott - Eat.Sleep.Fantasy","25","163","178","85","-","-","-"
"120","Ryan Weisse - Club Fantasy FFL","57","135","114","224","105","116","-"
"121","Scott Smith - RotoViz","224","59","70","53","-","-","-"
"122","Dan Harris - FantasyPros","173","173","23","86","116","25","-"
"123","Kevin Roberts - Breaking Football","20","121","206","128","27","92","-"
"124","Blair Williams - Razzball","19","208","125","183","-","-","-"
"125","Jason Moore - The Fantasy Footballers","72","171","96","163","-","-","-"
"126","Bo McBrayer - FantasyPros","226","2","164","187","92","149","-"
"127","Mike Wright - The Fantasy Footballers","181","119","83","92","-","-","-"
"128","Huseyin Aksu - Fantasy Couch","202","65","107","138","40","132","-"
"129","Jose Ramon Llaca - Estadio Fantasy","68","147","131","181","-","12","-"
"130","Brandon Funston - The Athletic","120","145","99","156","-","-","-"
"131","Allie Fontana - Fighting Chance Fantasy","67","5","222","9","60","143","-"
"132","Andy Vanda - Take Your League","36","166","163","100","-","-","-"
"133","Matt Schauf - Draft Sharks","112","200","18","144","31","26","6"
"134","Morgan Colby - The Fantasy Champions","98","107","137","182","-","-","-"
"135","Kyle Senra - Going For 2","201","9","171","73","-","-","-"
"136","John Paulsen - 4for4.com","191","179","22","47","-","-","-"
"137","Wilmar Chaves - Hablemos de Football","168","91","127","148","34","126","-"
"138","Ben Wasley - The Fantasy First Down","146","180","49","43","100","68","2"
"139","Bart Wheeler - Hail to Fantasy Football","162","100","139","67","86","154","-"
"140","Nate Marcum - Fantasy In Frames","118","105","158","48","110","96","7"
"141","Kyle Richardson - The Fantasy Headliners","158","84","56","228","-","-","30"
"142","Jamie Calandro - RotoBaller","53","158","161","116","-","-","-"
"143","Andrew Seifter - FantasyPros","142","164","90","119","9","142","-"
"144","Ricky Lemon - The Fantasy Champions","122","98","150","120","96","21","-"
"145","Aaron Schill - FF Faceoff","148","155","110","125","-","112","-"
"146","Tozzi Brothers - Legion Report","78","165","88","220","-","72","-"
"147","Joey Wright - Footballguys","193","143","72","118","91","138","-"
"148","Ryan Hicks - Belly Up Sports","12","222","121","198","-","-","-"
"149","Mark Ross - Athlon Sports","86","51","187","192","65","13","10"
"150","Kyle August - Fantasy Football Smackdown","208","60","126","193","-","-","-"
"151","Brandon Murchison - RotoBaller","209","80","129","124","-","-","-"
"152","Jacob Wayne - Lineups","115","116","136","217","-","-","-"
"153","Richard King - King Fantasy Sports","105","32","188","212","43","58","21"
"154","Mike Maher - FantasyPros","30","190","183","88","136","4","-"
"155","David Zach - FantasyPros","159","38","170","203","-","-","-"
"156","Neema Hodjat - Real GM","127","120","156","127","84","78","-"
"157","Nick Raducanu - Dr. Roto","183","148","98","189","125","33","-"
"158","Rob Wilson - The Fantasy Footballers","214","42","138","199","38","36","-"
"159","Adrian Alpanseque - Estadio Fantasy","140","207","39","126","130","44","-"
"160","Brendan Tuma - Underdog Fantasy","185","69","172","108","-","-","-"
"161","Nick Mariano - RotoBaller","233","73","112","112","39","61","-"
"162","Chris Dell - Betting Predators","180","95","169","78","94","125","-"
"163","Sebastian Ardura - Gurus Deportivos","207","118","134","157","33","85","-"
"164","Des Bieler - The Washington Post","204","83","149","134","56","40","-"
"165","Dave McKay - The Fantasy Sports Brain","189","45","179","169","-","-","-"
"166","Davis Mattek - Underdog Fantasy","235","49","133","89","138","102","-"
"167","Heath Capps - Fake Teams","95","139","189","110","-","-","-"
"168","Tommy Molioo - The Undroppables","9","228","80","229","55","8","-"
"169","Jaime Eisner - The Draft Network","216","177","34","179","144","30","-"
"170","Michael Florio - Rotoballer","213","152","79","206","47","20","-"
"171","Donkey Teeth - Razzball","143","127","196","34","68","-","-"
"172","Nick Bretwisch - Win Daily Sports","144","94","207","35","77","56","-"
"173","Geoff Lambert - Going For 2","16","97","224","215","-","-","-"
"174","Nate Hamilton - The Game Day","3","206","204","231","102","108","-"
"175","Blake Fincher - Fantasy Football Cafe","135","72","197","219","-","-","-"
"176","Armando Crespo - Eat.Sleep.Fantasy","222","66","152","197","-","-","-"
"177","Bradley Stalder - Player Profiler","186","188","145","37","-","-","9"
"178","Kyle Williams - Fantasy Six Pack","195","169","132","200","113","77","-"
"179","Brian Strait - FTLS Fantasy Football","212","46","203","159","-","-","-"
"180","Joe Pisapia - FantasyPros","170","174","153","132","-","109","-"
"181","Chet Gresham - SB Nation","128","140","201","149","1","107","-"
"182","John Hesterman - Dynasty League Football","155","136","184","194","-","-","-"
"183","Mike Harmon - Swollen Dome","91","191","118","232","42","32","-"
"184","Matt Harmon - Yahoo","124","193","162","82","145","98","-"
"185","Site Rankings - Gridiron Experts","22","214","220","26","-","-","-"
"186","Tal Malachovsky - The Fantasy Scout","192","186","143","151","5","64","-"
"187","Greg Smith - Superflex.Guide","236","215","7","140","50","7","-"
"188","KJ - Fantasy Team Advice","62","194","198","184","-","-","-"
"189","Derek Lofland - FantasyPros","89","213","175","83","49","111","-"
"190","Dan Larocca - Rotoballer","177","154","190","162","70","101","-"
"191","Austin Lee - 365 Fantasy Football","228","156","177","13","48","5","-"
"192","David Heilman - Sports Gambling Podcast Network","24","211","218","107","-","-","-"
"193","Doug Norrie - DFSR","108","198","180","155","-","160","-"
"194","Aaron Larson - FantasyPros","163","79","211","221","-","18","-"
"195","Gerson Aguirre - Going For 2","229","132","168","139","89","128","-"
"196","Craig Phillips - FF Prophet","114","170","205","196","-","-","-"
"197","Michael Petropoulos - BRoto Fantasy","190","144","186","185","111","-","-"
"198","Ryan Skolrud - SkullKing Sports","130","192","176","168","17","83","-"
"199","Mauricio Gutierrez - Estadio Fantasy","234","157","135","142","8","95","-"
"200","Dennis Esser - Coach Esser","154","175","166","214","7","-","-"
"201","David Mendelson - Triple Play Fantasy","219","185","92","225","140","156","-"
"202","Robby Jeffries - The Fantasy Authority","227","101","159","222","99","129","-"
"203","Mark Ringo - Sleepers and Busts","129","225","122","81","81","135","-"
"204","Mitchell Carl - Rise or Fall","119","189","173","216","143","63","-"
"205","Gary VanDyke - Sports Gambling Podcast Network","100","195","194","177","-","-","25"
"206","Matthew McCarthy - Gridiron Ratings","96","223","157","90","66","91","-"
"207","Corbin Young - FantasyData","232","92","214","29","90","71","-"
"208","Wyatt Bertolone - JWB Fantasy Football","221","184","148","170","62","22","-"
"209","Kent Weyrauch - FantasyPros","231","106","202","180","106","6","-"
"210","Lawrence Jackson - Fantasy Football Lord","210","114","217","121","-","-","-"
"211","Daniel Mader - Fantasy Football Advice Network","61","210","200","226","150","146","-"
"212","Ryan Hodge  - FantasyLabs","225","181","185","69","-","-","-"
"213","Matt Okada - 4for4.com","116","217","215","28","-","90","-"
"214","Connor Rigg - Dynasty Nerds","110","212","213","145","124","119","-"
"215","Jason Petropoulos - BRoto Fantasy","220","178","195","213","82","115","-"
"216","Wayne Bretsky - BretskyBall","101","218","210","173","-","38","-"
"217","Peter Rogers - NerdBall Fantasy Football","215","172","216","167","-","-","-"
"218","Jeff DiMatteo - Gridiron Ratings","103","197","228","4","85","80","29"
"219","Brad Camara - RotoBaller","35","229","226","6","15","74","-"
"220","Dominick Petrillo - The Athletic","48","227","223","133","-","-","-"
"221","Dave Kluge - Footballguys","184","209","208","227","148","114","-"
"222","Michael Tomlin - Fantasy Six Pack","121","183","227","178","57","75","-"
"223","Adam Pfeifer - FTN","166","221","212","201","-","-","-"
"224","Seth Keller - Gridiron Experts","42","226","225","190","-","-","-"
"225","Jordan Rains - The IDP Army","223","205","221","109","146","159","18"
"226","Travis Seel - The Undroppables","217","202","209","230","-","-","-"
"227","Tim Brosnan - Tim's Fantasy Tips","211","220","219","137","97","104","15"
"228","Tim Petropoulos - BRoto Fantasy","230","224","193","211","118","139","-"
"229","Adam Pelletier - Sports Gambling Podcast Network","74","219","230","210","119","39","-"
"230","Jake Arthur - Sports Illustrated","17","230","229","223","135","50","14"
"-","Ryan Sitzmann - The IDP Guru","-","-","-","-","-","-","17"
"-","Jorge B. Edwards - Fantasy In Frames","55","-","-","7","133","137","13"
"-","Site Rankings - FFToday","52","-","-","-","51","60","20"
"-","Site Rankings - 4for4","-","-","-","-","-","-","26"
"-","Bob Van Duser - Dynasty Rewind","-","-","-","-","-","-","23"
"-","Jamey Eisenberg - CBS Sports","205","-","-","-","25","145","-"
"-","Dave Richard - CBS Sports","218","-","-","-","12","148","-"
"-","Walter Cherepinsky - Walter Football","198","-","-","-","67","151","-"
"-","Michael Fabiano - Sports Illustrated","138","-","-","-","-","-","-"
"-","Doug Orth - FFToday","-","-","-","84","-","-","-"
""
""
