"Rank","Expert Name","QB","RB","WR","TE","K","DST","IDP"
"1","Matthew Hill - DataForce Fantasy Football","2","13","15","25","-","-","-"
"2","Rob Waziak - Fantasy Life","21","17","2","10","13","10","-"
"3","Jared Smola - Draft Sharks","6","30","6","6","44","56","-"
"4","Justin Boone - theScore","7","25","10","33","7","38","-"
"5","Andy Holloway - The Fantasy Footballers","25","12","12","28","-","-","-"
"6","Patrick Thorman - Establish the Run","5","3","31","53","70","9","-"
"7","Kev Wheeler - Wheel Route FF","3","10","36","51","31","66","-"
"8","Dalton Del Don - Yahoo","4","4","11","109","53","67","-"
"9","Jason Moore - The Fantasy Footballers","11","16","29","31","-","-","-"
"10","Jake Ciely - The Athletic","10","40","3","54","-","55","-"
"11","Nick Mariano - RotoBaller","9","7","47","21","12","6","-"
"12","John Paulsen - 4for4.com","16","34","14","12","-","-","-"
"13","Pat Fitzmaurice - FantasyPros","39","1","30","60","23","27","-"
"14","Sean Koerner - The Action Network","49","28","13","8","1","1","6"
"15","Elisha Twerski - USA Today","59","2","8","86","50","68","-"
"16","Zach Greubel - Gridiron Experts","31","6","24","66","-","78","-"
"17","Kevin Hanson - EDSFootball","50","20","34","1","48","30","-"
"18","Nathan Jahnke - Pro Football Focus","56","15","20","27","-","-","-"
"19","Mike Wright - The Fantasy Footballers","14","23","37","38","-","-","-"
"20","Seth Klein - Fantrax","29","22","61","4","-","-","-"
"21","Scott Barrett - Fantasy Points","13","29","38","45","72","-","-"
"22","Bill Enright - Sports Illustrated","61","14","18","75","-","-","-"
"23","Andy Singleton - Expand The Boxscore","20","21","40","41","36","18","4"
"24","Tozzi Brothers - Legion Report","33","53","1","83","-","84","-"
"25","Ken Zalis - FantasyPros","67","5","28","78","54","41","-"
"26","Jeff Ratcliffe - FTN","52","35","25","26","41","13","1"
"27","Joe Bond - Fantasy Six Pack","8","32","45","71","8","11","-"
"28","Staff Rankings - Pyromaniac","23","24","62","29","-","-","-"
"29","Dan Harris - FantasyPros","66","33","33","19","-","-","-"
"30","Mike Tagliere - FantasyPros","32","8","48","100","60","31","7"
"31","Chet Gresham - SB Nation","41","18","39","95","-","19","-"
"32","Jason Longfellow - Razzball","15","37","57","48","67","39","-"
"33","Brendan Donahue - Sharp Football Analysis","26","43","51","9","-","-","-"
"34","Dylan Chappine - Wolf Sports","86","11","9","105","34","77","-"
"35","Andy Behrens - Yahoo","34","27","22","111","15","43","-"
"36","Scott Pianowski - Yahoo","44","60","21","47","45","61","-"
"37","Donald Gibson - FantasyPros","45","86","4","34","63","49","-"
