"Rank","Expert Name","QB","RB","WR","TE","K","DST","IDP"
"1","Sean Koerner - The Action Network","6","1","1","9","1","3","-"
"2","Elisha Twerski - USA Today","1","18","4","17","-","-","-"
"3","Joe Bond - Fantasy Six Pack","9","9","9","37","24","19","-"
"4","Patrick Thorman - Establish the Run","3","8","20","33","45","59","-"
"5","Kev Mahserejian - Razzball","23","4","2","151","4","63","-"
"6","Frank Ammirante - The Game Day","52","12","3","52","92","35","-"
"7","Marc Shannep - Fantasy Knockout","44","24","6","5","-","5","-"
"8","Tyler Orginski - FTN","20","7","18","66","-","-","-"
"9","Jeff Ratcliffe - FTN","43","2","41","21","72","7","-"
"10","Jamie Calandro - RotoBaller","36","6","12","95","-","-","-"
"11","Nathan Jahnke - Pro Football Focus","4","11","28","73","26","16","10"
"12","Jody Smith - FullTime Fantasy","12","10","31","25","73","21","-"
"13","Nick Mariano - RotoBaller","67","5","10","84","57","33","-"
"14","Nick Spencer - Fantasy Six Pack","8","27","22","28","28","12","-"
"15","Kevin Hanson - EDSFootball","26","38","8","24","30","38","-"
"16","Mick Ciallela - Fantrax","19","41","15","47","23","4","-"
"17","Chris Raybon - The Action Network","13","3","60","119","14","79","-"
"18","Matthew Freedman - Fantasy Life","22","21","35","51","54","32","-"
"19","Bill Enright - Data Skrive","76","31","5","68","-","-","-"
"20","Alex Godshall - Hooyah Sports","57","17","14","101","-","-","-"
"21","Rudy Gamble - Razzball","62","30","7","85","31","28","-"
"22","Schuyler Malak - JWB Fantasy Football","70","15","21","63","44","-","-"
"23","Dalton Del Don - The Deep Shot","32","50","11","57","16","40","-"
"24","Bradley Stalder - Player Profiler","53","34","19","54","79","10","13"
"25","Justin Jaksa - Dr. Roto","72","20","36","20","7","9","-"
"26","Ryan Noonan - 4for4","27","44","16","91","-","-","-"
"27","David Biggs - Drink Five","11","55","40","13","64","20","-"
"28","Chris Kennedy - Dr. Roto","34","36","47","16","20","14","-"
"29","Scott Smith - RotoViz","10","35","50","60","-","-","-"
"30","Justin Sablich - 5th Down Fantasy","55","49","13","46","46","91","-"
"31","Ben Wasley - The Fantasy First Down","25","40","27","83","71","78","-"
"32","Anthony Cervino - FF Faceoff","56","23","37","59","-","-","-"
"33","Dennis Sosic - Fantasy Six Pack","48","51","25","19","66","8","14"
"34","Andy Singleton - Expand The Boxscore","71","16","34","72","52","31","7"
"35","Mike Maher - FantasyPros","38","46","23","61","82","-","-"
"36","Alfredo Brown - Footballguys","51","26","29","114","-","-","-"
"37","Chalk - The Undroppables","33","45","51","15","-","-","-"
"38","Kyle Krajewski - First Seed Sports","2","22","79","115","50","6","-"
"39","Robert Norton - Last Word On Sports","18","73","45","10","63","2","-"
"40","Michael Hauff - FF Faceoff","50","39","30","86","-","-","-"
"41","Chris Meaney - FTN","73","42","39","27","-","-","-"
"42","Mike MacGregor - Draft Buddy","66","29","68","23","13","61","-"
"43","David Zach - FantasyPros","40","33","75","22","-","-","-"
"44","Fantasy BR - Staff Rankings","42","57","32","70","-","-","-"
"45","Tommy Garrett - SharpLinkHQ","35","37","62","67","-","-","-"
"46","Pat Fitzmaurice - FantasyPros","45","76","42","14","38","64","-"
"47","Alex Korff - Draft Sharks","74","14","61","106","9","68","-"
"48","Dave Major - XN Sports","41","68","59","8","-","-","-"
"49","Dan Larocca - Rotoballer","37","28","86","82","36","18","-"
"50","Francisco (Chato) Romero - Estadio Fantasy","64","61","43","36","35","54","-"
"51","Jared Smola - Draft Sharks","54","32","63","109","43","89","-"
"52","Mauricio Gutierrez - Estadio Fantasy","30","66","67","39","69","46","-"
"53","Kyle Yates - Yates Fantasy Football","29","83","33","124","-","75","21"
"54","Kelly Kirby - FantasyPros","7","69","48","150","-","76","-"
"55","Matthew Hill - DataForce Fantasy Football","39","54","92","48","-","-","-"
"56","Kevin English - Draft Sharks","61","19","93","128","61","67","-"
"57","Scott Whitfield - Roto Rankings","15","77","77","75","-","-","-"
"58","Justin Lampkin - Clock Management FF","124","25","71","88","-","-","-"
"59","Lee Wehry - FantasyPros","88","94","38","42","37","15","-"
"60","Seth Miller - Crossroads Fantasy Football","118","59","57","56","-","-","-"
"61","John Hesterman - Dynasty League Football","102","70","58","69","-","-","-"
"62","Mike Fanelli - FantasyPros","16","47","85","161","49","27","-"
"63","MasterIDP - RPO Football","113","86","44","30","21","29","1"
"64","Billy Muzio - PlayerProfiler.com","86","13","87","159","-","-","-"
"65","Clayton Cadieux - Fantasy Football From Up North","31","65","102","44","-","-","-"
"66","Site Rankings - The FF Ghost","78","106","52","6","-","-","8"
"67","Joey Wright - Footballguys","127","92","54","3","-","-","-"
"68","Derek Dennington - The Good Old Boys","125","67","56","43","-","-","-"
"69","Brandon Murchison - RotoBaller","111","43","73","94","5","85","-"
"70","Tera Roberts - OddsChecker","14","74","109","29","29","41","-"
"71","Todd D Clark - The Fantasy Fix","101","97","46","38","-","-","-"
"72","Neema Hodjat - Real GM","85","63","80","71","68","58","-"
"73","Matt Schauf - Draft Sharks","68","56","83","125","-","-","6"
"74","Kev Wheeler - Wheel Route FF","75","79","82","77","-","-","-"
"75","Zach Brunner - FlurrySports","120","93","24","110","90","44","-"
"76","Sam Hoppen - FantasyPros","49","72","104","34","-","-","-"
"77","Aaron St Denis - Fantasy Sports Advice Network","63","99","26","153","75","47","2"
"78","Dylan Licciardo - FF Gamers","91","90","76","40","-","-","-"
"79","Steve Paulo - CRAIG Projections","80","78","72","127","86","48","-"
"80","Andrew Erickson - FantasyPros","93","82","89","49","-","-","-"
"81","Michael Tomlin - Fantasy Six Pack","65","105","96","2","87","42","-"
"82","Wolf of Roto Street - Roto Street Journal","123","71","91","26","33","82","-"
