"Rank","Expert Name","QB","RB","WR","TE","K","DST","IDP"
"1","Sean Koerner - The Action Network","28","5","5","100","7","23","-"
"2","Pat Fitzmaurice - FantasyPros","11","4","41","102","3","67","-"
"3","Ken Zalis - FantasyPros","69","2","23","48","78","101","-"
"4","Patrick Thorman - Establish the Run","2","14","69","44","119","12","-"
"5","Ryan Hodge  - FantasyLabs","24","40","1","109","14","123","-"
"6","David Biggs - Drink Five","22","3","49","115","9","28","-"
"7","Jacob Gibbs - SportsLine","10","12","37","82","-","-","-"
"8","Brian Strait - FTLS Fantasy Football","48","36","6","26","-","-","-"
"9","Rob Waziak - Fantasy Life","47","68","4","9","16","44","-"
"10","Site Rankings - FantasyOMatic","26","20","35","27","8","107","-"
"11","Andy Behrens - Yahoo","13","106","9","14","25","120","-"
"12","Dylan Chappine - Wolf Sports","20","104","14","1","46","68","-"
"13","Jason Moore - The Fantasy Footballers","70","29","22","19","-","-","-"
"14","Seth Klein - Fantrax","118","6","46","11","-","-","-"
"15","Anthony Cervino - FF Faceoff","66","61","8","40","44","65","-"
"16","Dan Harris - FantasyPros","84","15","12","71","10","3","-"
"17","Alex Blickle - Fantasy Team Advice","79","13","70","2","-","-","-"
"18","Ryan Noonan - 4for4","16","63","20","111","71","-","-"
"19","Justin Boone - theScore","53","28","18","91","13","43","-"
"20","John Paulsen - 4for4.com","67","71","26","4","-","-","-"
"21","Kevin English - Draft Sharks","45","59","11","99","-","-","-"
"22","Andy Holloway - The Fantasy Footballers","62","84","29","3","-","-","-"
"23","Scott Barrett - Fantasy Points","21","50","86","8","73","13","-"
"24","Justin Sablich - 5th Down Fantasy","38","32","28","112","106","89","-"
"25","Jason Longfellow - Razzball","86","22","48","21","103","61","-"
"26","Site Rankings - FullTime Fantasy","75","64","21","17","40","83","-"
"27","Thor Akerley - Fantasy Team Advice","9","39","58","144","-","7","-"
"28","Site Rankings - The FF Ghost","90","18","36","57","70","9","1"
"29","Frank Bonincontri - Fantasy Wire HQ","40","95","30","16","108","102","-"
"30","Andy Singleton - Expand The Boxscore","76","35","39","66","19","20","7"
"31","Tozzi Brothers - Legion Report","109","41","15","64","-","121","-"
"32","Michael Tomlin - Fantasy Six Pack","44","46","45","105","35","104","-"
"33","Greg Smith - Superflex.Guide","14","115","54","15","4","100","-"
"34","Allie Fontana - Fighting Chance Fantasy","68","24","61","58","33","36","-"
"35","Kaz Kalita - Big Guy Fantasy Sports","111","33","17","74","60","75","-"
"36","Justin George - Take Your League","108","10","42","110","-","-","-"
"37","Jeff Boggis - Fantasy Football Empire","54","91","19","36","76","16","5"
"38","Mauricio Gutierrez - Estadio Fantasy","18","86","32","123","39","81","8"
"39","Scott Pianowski - Yahoo","33","60","76","31","84","115","-"
"40","Mike Harmon - Swollen Dome","93","11","68","95","31","34","-"
"41","Jason Willan - Gridiron Experts","99","90","10","50","79","90","-"
"42","Adam Ronis - Fantasy Alarm","30","75","66","33","85","22","-"
"43","Nick Humphreys - Fantasy Victors","130","9","74","23","5","63","-"
"44","Marc Caviglia - Bruno Boys","42","26","103","28","12","54","-"
"45","Brandon Funston - The Athletic","41","131","7","62","69","-","-"
"47","Christian Brito - Eat.Sleep.Fantasy","110","47","34","45","-","-","-"
"47","Andrew Gould - FantasyPros","73","23","52","134","57","103","-"
"48","Jake Ciely - The Athletic","27","109","64","7","-","97","-"
"49","Des Bieler - The Washington Post","50","49","84","32","56","66","-"
"50","Mike Wright - The Fantasy Footballers","77","70","16","119","101","-","-"
"51","Kyle Richardson - The Fantasy Headliners","72","8","99","104","26","49","-"
"52","Jared Smola - Draft Sharks","74","66","24","117","11","69","-"
"53","Kyle Yates - Yates Fantasy Football","35","143","3","38","37","59","-"
"54","Kev Wheeler - Wheel Route FF","25","55","92","83","55","82","-"
"55","Nick Mariano - RotoBaller","52","43","80","68","2","57","-"
"56","Kevin Hanson - EDSFootball","55","38","87","52","107","45","-"
"57","Jeff Ratcliffe - FTN","80","107","13","51","65","31","11"
"58","Andrew Seifter - FantasyPros","71","25","62","129","6","8","-"
"59","Jamie Calandro - RotoBaller","124","54","50","24","53","74","-"
"60","Christopher Ventra - RotoExperts","23","100","67","54","-","52","-"
"61","Michael Florio - Rotoballer","19","69","88","101","110","38","-"
"62","","37","7","119","133","20","110","-"
"63","Bart Wheeler - Hail to Fantasy Football","29","27","89","151","38","91","-"
"64","Brad Evans - Bally Sports","5","113","126","13","88","51","-"
"65","Elisha Twerski - USA Today","101","62","57","92","-","11","-"
"66","Jody Smith - FullTime Fantasy","17","97","124","5","51","26","-"
