"Rank","Expert Name","QB","RB","WR","TE","K","DST","IDP"
"1","Tyler Orginski - FTN","6","2","6","38","-","-","-"
"2","Joe Bond - Fantasy Six Pack","5","1","8","48","1","18","-"
"3","Sean Koerner - The Action Network","2","13","1","94","19","56","-"
"4","Patrick Thorman - Establish the Run","18","19","3","23","12","21","-"
"5","Jeff Ratcliffe - FTN","3","53","2","37","11","23","-"
"6","Zach Brunner - FlurrySports","63","3","5","17","6","27","-"
"7","Nathan Jahnke - Pro Football Focus","16","15","7","63","3","3","10"
"8","Chris Raybon - The Action Network","8","52","9","27","8","49","-"
"9","Marc Shannep - Fantasy Knockout","26","23","4","68","-","6","-"
"10","Elisha Twerski - USA Today","33","7","27","7","-","70","-"
"11","Ben Wasley - The Fantasy First Down","1","41","16","83","46","1","-"
"12","Kevin Hanson - EDSFootball","17","26","13","50","13","13","-"
"13","Schuyler Malak - JWB Fantasy Football","15","18","15","76","32","35","-"
"14","Mike Maher - FantasyPros","45","14","19","25","-","-","-"
"15","Chris Kennedy - Dr. Roto","14","22","18","65","20","33","-"
"16","Jody Smith - FullTime Fantasy","13","28","20","44","27","52","-"
"17","Alex Korff - Draft Sharks","32","24","29","9","17","39","-"
"18","Mick Ciallela - Fantrax","37","47","14","20","26","22","-"
"19","Kev Wheeler - Wheel Route FF","11","65","21","16","43","59","-"
"20","Pat Fitzmaurice - FantasyPros","9","8","54","15","35","62","-"
"21","Lee Wehry - FantasyPros","38","16","26","52","36","28","-"
"22","Nick Spencer - Fantasy Six Pack","48","32","11","74","18","10","-"
"23","Nick Mariano - RotoBaller","12","9","28","121","50","74","-"
"24","Kyle Krajewski - First Seed Sports","61","44","22","26","29","4","-"
"25","Nick Zylak - Fantasy Football Advice","55","76","17","4","89","72","-"
"26","Dennis Sosic - Fantasy Six Pack","35","54","12","97","28","14","11"
"27","Jared Smola - Draft Sharks","39","30","40","28","5","37","-"
"28","Dan Larocca - Rotoballer","23","49","24","79","16","8","-"
"29","Matthew Hill - DataForce Fantasy Football","27","43","43","39","-","-","-"
"30","David Biggs - Drink Five","67","20","51","5","21","31","-"
"31","Derek Dennington - The Good Old Boys","59","34","33","51","14","15","-"
"32","Neema Hodjat - Real GM","22","21","95","3","64","34","-"
"33","Joey Wright - Footballguys","19","48","41","82","-","-","-"
"34","Christopher Gimino - RotoGrinders","85","51","23","33","91","53","-"
"35","Bill Enright - Data Skrive","98","12","10","134","-","-","-"
"36","Rob Waziak - Fantasy Life","42","84","34","8","62","7","-"
"37","Dalton Del Don - The Deep Shot","70","31","36","60","22","48","-"
"38","Kevin English - Draft Sharks","53","82","32","10","84","60","-"
"39","Keith Lott - Fantasy Six Pack","30","40","57","40","2","17","-"
"40","Wyatt Bertolone - Player Profiler","52","66","42","29","-","-","-"
"41","Justin Sablich - 5th Down Fantasy","58","6","52","96","90","77","-"
"42","Joe Beldner - The Fantasy Footballers","81","5","53","61","42","64","-"
"43","Francisco (Chato) Romero - Estadio Fantasy","60","29","71","13","74","20","-"
"44","Steve DeAngelo - FF Faceoff","7","50","79","59","-","-","-"
"45","Chris Dell - Betting Predators","4","25","98","89","48","19","-"
"46","Mike Randle - FTN","87","35","44","49","23","86","-"
"47","Kev Mahserejian - Razzball","34","4","111","57","31","24","-"
"48","Frank Ammirante - The Game Day","47","17","75","71","49","63","-"
"49","Kyle Yates - Yates Fantasy Football","82","37","45","62","80","85","-"
"50","Matt De Lima - Athlon Sports","108","45","31","41","25","41","4"
"51","Fantasy BR - Staff Rankings","56","27","49","113","-","-","-"
"52","Richard Savill - Fantasy Six Pack","21","55","64","90","-","-","-"
"53","Jeff Bell - Footballguys","64","61","60","18","67","-","-"
"54","Justin Jaksa - Dr. Roto","10","83","63","54","82","30","-"
"55","Dave Kluge - Footballguys","44","39","72","69","-","-","-"
"56","Matt Schauf - Draft Sharks","105","38","76","1","15","58","6"
"57","Andrew Erickson - FantasyPros","83","36","58","56","-","-","-"
"58","Benjamin Klotz - Touchdown Squad","90","85","39","11","-","-","-"
"59","Andy Behrens - The Deep Shot","109","71","38","24","58","90","-"
"60","Scott Smith - RotoViz","114","62","30","75","-","-","-"
"61","David Heilman - Sports Gambling Podcast Network","74","46","70","43","37","26","12"
"62","Mike Fanelli - FantasyPros","49","81","35","117","-","-","-"
"63","Ryan Noonan - 4for4","24","89","68","45","-","-","3"
"64","Bart Wheeler - Hail to Fantasy Football","41","63","88","72","10","43","-"
"65","Robert Norton - Last Word On Sports","57","80","48","105","65","25","-"
"66","Wolf of Roto Street - Roto Street Journal","20","88","61","100","86","89","-"
"67","John Hesterman - Dynasty League Football","36","87","62","91","-","-","-"
"68","Jamie Calandro - RotoBaller","72","68","46","128","-","-","-"
"69","Aaron St Denis - Fantasy Sports Advice Network","29","94","59","86","33","9","5"
"70","Drew DeLuca - QB List","84","56","56","110","39","46","-"
"71","Tera Roberts - OddsChecker","40","58","93","93","51","61","-"
"72","Chris Welsh - FantasyPros","68","57","104","30","-","-","-"
"73","Derek Brown - FantasyPros","65","11","90","143","-","-","-"
"74","Todd D Clark - The Fantasy Fix","62","73","84","73","-","-","-"
"75","Jacob Dunne - Fantrax","91","60","105","12","59","36","-"
"76","Jeremy Popielarz  - FTN","96","69","85","34","-","-","-"
"77","Dylan Licciardo - FF Gamers","115","91","50","14","-","-","-"
"78","Michael Tomlin - Fantasy Six Pack","117","67","74","21","61","-","-"
"79","Zach Greubel - Gridiron Experts","97","97","37","106","-","-","-"
"80","Brandon Murchison - RotoBaller","113","42","108","36","9","76","-"
"81","Matt Olson - 32 Beat Writers","43","79","73","139","-","-","-"
"82","Jason Willan - Gridiron Experts","136","86","47","55","7","51","-"
"83","Jacob Piccolo - TrueRGM","50","100","106","31","-","32","-"
"84","Aaron Larson - FantasyPros","94","98","87","32","-","-","-"
"85","Mauricio Gutierrez - Estadio Fantasy","31","75","116","99","55","11","-"
"86","Daniel Mader - Fantasy Football Advice Network","122","70","83","66","57","73","-"
"87","Anthony Cervino - FF Faceoff","102","103","55","87","-","-","-"
"88","Tom Strachan - NFL Best Ball","51","109","107","47","-","-","-"
"89","Bradley Stalder - Player Profiler","107","64","82","131","44","40","7"
"90","Chalk - The Undroppables","128","113","25","104","-","-","-"
"91","Scott Whitfield - Roto Rankings","78","90","89","107","-","-","-"
"92","Rich Piazza - Fantasy Shed","92","92","81","108","-","-","-"
"93","Mike MacGregor - Draft Buddy","76","72","119","58","38","2","-"
"94","Scott Engel - RotoBaller","127","10","115","119","68","67","-"
"95","Scott Bogman - FantasyPros","99","104","100","22","-","-","8"
"96","Clayton Cadieux - Fantasy Football From Up North","77","101","109","80","-","-","-"
"97","James Emrick-Wilson - Armchair Scouting","46","118","102","78","41","84","-"
"98","MasterIDP - RPO Football","125","114","92","2","45","5","1"
"99","Jacob Gibbs - SportsLine","106","59","117","98","-","-","-"
"100","Site Rankings - The FF Ghost","80","117","78","112","56","38","13"
"101","Steve Hungarter - Fantasy Six Pack","133","74","80","137","-","-","9"
"102","Bobby LaMarco - Razzball","100","77","118","102","-","-","-"
"103","Shane Hallam - Draft Sharks","150","107","67","35","47","54","14"
"104","Brad Beatson - Bandit Football","69","128","94","70","54","87","-"
"105","Andrew Scott - Fantasy In Frames","130","96","97","88","-","-","-"
"106","Scott Spratt - FTN","101","121","86","81","-","-","-"
"107","Muntradamus - Beast Dome","54","95","123","118","73","65","-"
"108","Scott Pianowski - Yahoo","71","93","120","111","52","78","-"
"109","Dan Yanotchko - EDSFootball","73","119","91","120","53","16","-"
"110","Ryan Hicks - Belly Up Sports","104","122","77","109","-","-","-"
"111","Matt Harmon - Yahoo","121","116","110","53","94","96","-"
"112","Jaime Eisner - The Draft Network","110","99","125","46","76","79","-"
"113","Joe Pisapia - FantasyPros","123","110","113","67","-","-","-"
"114","Richard King - Rotoballer","118","108","114","85","-","-","-"
"115","Michael Bobal - The 33rd Team","141","112","101","64","-","-","-"
"116","Kyle Senra - Going For 2","66","33","142","135","72","80","-"
"117","Mike Harmon - Swollen Dome","120","102","112","142","-","-","-"
"118","Rudy Gamble - Razzball","149","126","66","95","60","44","-"
"119","Jorge B. Edwards - Fantasy In Frames","139","125","69","124","-","-","15"
"120","Kevin Steele - The Fantasy Authority","88","123","133","19","79","92","-"
"121","Jeff Boggis - Fantasy Football Empire","135","115","96","144","71","12","16"
"122","Adam Murfet - 5 Yard Rush","103","140","122","6","24","50","17"
"123","Ellis Johnson - FantasyPros","75","132","103","147","66","-","-"
"124","Ryan Weisse - Club Fantasy FFL","137","137","65","133","30","94","-"
"125","Guilherme Gianni - Fantasy Futebolista","129","134","99","125","40","29","-"
"126","Joe Serpico - Pressbox","148","111","127","42","77","-","-"
"127","Steven Pintado - The Fantasy Coaches","134","106","129","115","-","-","-"
"128","Coach Craig Sports - True North Fantasy Football","131","124","130","77","83","45","-"
"129","Michael Hauff - FF Faceoff","126","127","124","126","-","-","-"
"130","Michelle Magdziuk - BallBlast Podcast","79","105","141","116","70","83","-"
"131","Kate Magdziuk - Behind the Steel Curtain","86","136","136","92","75","81","-"
"132","Justin Fuhr - Pro Football Mania","147","131","121","138","69","71","-"
