"Rank","Expert Name","QB","RB","WR","TE","K","DST","IDP"
"1","Sean Koerner - The Action Network","2","8","1","45","13","1","-"
"2","Pat Fitzmaurice - FantasyPros","3","40","12","2","21","42","-"
"3","John Paulsen - 4for4.com","13","4","14","24","-","-","-"
"4","Justin Boone - theScore","18","11","7","4","1","40","-"
"5","Rudy Gamble - Razzball","6","1","34","52","4","9","16"
"6","Matthew Freedman - Fantasy Life","8","14","16","7","-","-","-"
"7","Rob Waziak - Fantasy Life","19","29","6","8","2","6","-"
"8","Dave Major - XN Sports","30","20","5","29","-","-","-"
"9","Nick Mariano - RotoBaller","16","25","8","21","49","5","-"
"10","Bill Enright - Sports Illustrated","4","30","18","73","76","50","-"
"11","Andy Holloway - The Fantasy Footballers","53","21","3","11","-","-","-"
"12","Dan Harris - FantasyPros","10","16","24","37","-","58","-"
"13","Patrick Thorman - Establish the Run","59","9","9","6","5","24","-"
"14","Jason Moore - The Fantasy Footballers","14","31","10","42","57","36","-"
"15","Jeff Ratcliffe - FTN","28","12","15","53","37","26","1"
"16","Zach Greubel - Gridiron Experts","47","13","13","13","-","18","-"
"17","Raymond Summerlin - Rotoworld","1","53","17","56","25","64","-"
"18","Jake Ciely - The Athletic","25","6","31","35","-","25","-"
"19","Scott Barrett - Fantasy Points","26","5","19","69","59","69","-"
"20","Kevin Hanson - EDSFootball","34","15","22","15","61","34","-"
"21","Ken Zalis - FantasyPros","7","36","25","34","44","57","-"
"22","Staff Rankings - Daily Roto","12","2","36","84","16","13","-"
"23","Jason Longfellow - Razzball","31","43","4","36","20","39","4"
"24","Site Rankings - FullTime Fantasy","5","37","33","51","42","83","8"
"25","Christian Brito - Eat.Sleep.Fantasy","44","24","20","19","29","19","-"
"26","Brett Talley - Fantasy Alarm","36","3","51","26","-","-","-"
"27","Emil Kadlec - Football Diehards","20","65","2","49","-","-","-"
"28","Mauricio Gutierrez - Estadio Fantasy","35","18","46","46","50","67","13"
"29","Brendan Donahue - Sharp Football Analysis","11","39","40","44","-","-","-"
"30","Joe Bond - Fantasy Six Pack","37","7","39","75","46","8","-"
"31","Kevin English - Draft Sharks","33","38","30","23","23","7","-"
"32","Mike Wright - The Fantasy Footballers","52","22","35","41","-","-","-"
"33","Kev Wheeler - Wheel Route FF","38","45","11","57","53","56","-"
"34","Michael Tomlin - Fantasy Six Pack","21","28","56","47","72","12","-"
"35","Jared Smola - Draft Sharks","22","49","44","22","40","4","-"
"36","Site Rankings - Gridiron Experts","55","32","54","33","-","-","-"
"37","Patrick Daugherty - Rotoworld","56","44","23","54","34","16","-"
"38","Jason Sablich - 5th Down Fantasy","9","35","82","58","70","15","-"
"39","Tozzi Brothers - Legion Report","42","26","64","76","-","-","-"
"40","Matt Camp - Bleacher Report","54","55","42","9","43","17","-"
"41","Matthew Hill - DataForce Fantasy Football","69","47","37","12","-","-","-"
"42","Tyler Loechner - FTN","23","71","50","20","51","46","-"
"43","Dan Clasgens - Get Sports Info","72","42","45","27","12","51","-"
"44","Kaz Kalita - Big Guy Fantasy Sports","64","23","58","63","-","-","-"
"45","Heath Capps - Fake Teams","29","74","21","72","39","52","-"
"46","Heath Cummings - CBS Sports","43","10","81","87","41","77","-"
"47","Mike Tagliere - FantasyPros","48","76","28","17","-","10","-"
"48","Jody Smith - FullTime Fantasy","45","17","74","86","27","49","-"
"49","Ryan Noonan - 4for4","39","34","76","60","-","-","-"
"50","Mike Harmon - Swollen Dome","17","54","61","91","8","28","-"
"51","","93","33","26","80","31","55","9"
"52","Chris Meaney - FTN","82","41","52","38","32","33","-"
"53","David Biggs - Drink Five","24","68","57","89","60","37","-"
"54","Greg Smith - Superflex.Guide","49","82","29","64","3","3","-"
"55","Michael Florio - Rotoballer","80","51","48","40","11","78","-"
"56","Jeff Boggis - Fantasy Football Empire","85","46","60","16","47","11","14"
"57","Andy Singleton - Expand The Boxscore","75","79","27","48","-","-","-"
"58","Seth Klein - Fantrax","68","61","41","88","-","-","-"
"59","Marc Caviglia - Bruno Boys","57","66","66","70","38","32","-"
"60","Jason Willan - Gridiron Experts","41","84","72","5","19","31","-"
"61","Scott Pianowski - Yahoo","46","75","62","68","22","20","-"
"62","Derek Lofland - FantasyPros","73","63","65","65","35","54","-"
"63","Donald Gibson - FantasyPros","91","58","38","74","58","23","-"
"64","Jamey Eisenberg - CBS Sports","60","64","75","59","10","45","-"
"65","Scott Engel - RotoBaller","32","93","87","1","15","38","-"
"66","Rich Piazza - Fantasy Shed","61","59","84","71","24","66","-"
"67","Dominick Petrillo - The Athletic","27","85","90","28","56","62","-"
"68","Matt Schauf - Draft Sharks","78","77","79","10","-","14","3"
"69","Dave Richard - CBS Sports","15","98","80","32","18","81","-"
"70","Staff Rankings - Fantasy Knuckleheads","92","62","63","55","30","75","-"
"71","John Halpin - Carolina Panthers Radio Network","40","95","53","61","7","2","-"
"72","Frank Stampfl - CBS Sports","76","57","73","77","-","30","-"
"73","Richard Savill - Fantasy Six Pack","51","72","69","94","36","35","-"
"74","Dan Yanotchko - EDSFootball","58","96","32","82","55","44","-"
"75","Site Rankings - The FF Ghost","77","86","55","67","28","60","6"
"76","Andrew Ferris - Fantasy Hot Read","63","87","70","43","-","74","-"
"77","Jon Collins - Fantasy Sports LR","74","81","85","31","33","63","-"
"78","Andy Behrens - Yahoo","67","99","67","18","26","47","-"
"79","Scott Whitfield - Roto Rankings","87","67","93","3","9","43","-"
"80","Allie Fontana - Fighting Chance Fantasy","89","56","68","97","14","29","-"
"81","Brent Namejko - Fantasy Smack Talk","84","73","86","62","48","65","-"
"82","Anthony Staggs - 4for4","96","94","43","30","-","-","-"
"83","Michael Beller - The Athletic","81","80","95","39","67","48","-"
"84","Brad Evans - Bally Sports","71","83","102","14","62","68","-"
"85","Dalton Del Don - Yahoo","88","91","78","66","6","27","-"
"86","Liz Loza - LizLoza_FF","66","110","59","25","65","59","-"
"87","Pierre Camus - Fantasy Endgame","79","97","71","79","17","71","-"
"88","Muntradamus - Beast Dome","103","88","47","98","69","53","-"
"89","Scott Smith - RotoViz","100","27","97","101","-","-","-"
"90","Staff Rankings - Pyromaniac","94","60","99","92","-","-","-"
"91","James Hatfield - Hatty Waiver Wire Guru","98","78","88","90","52","41","-"
"92","Wayne Bretsky - BretskyBall","62","102","89","85","-","-","-"
"93","Site Projections - numberFire","101","89","49","99","66","76","-"
"94","Brandon Funston - The Athletic","65","103","98","50","54","22","-"
"95","Walter Cherepinsky - Walter Football","50","100","103","81","-","72","-"
"96","Kevin Roberts - Breaking Football","70","106","94","93","45","73","-"
"97","Matt De Lima - DraftKings","109","52","77","104","75","80","10"
"98","Adam Sutton - Big Guy Fantasy Sports","97","19","106","108","74","-","-"
"99","Brad Richter - DailyOverlay","99","70","101","100","64","84","-"
"100","Staff Rankings - QB List","102","101","96","83","-","79","15"
"101","Ben Standig - The Athletic","83","105","91","103","-","-","-"
"102","Jeff Paur - RTSports","86","108","92","96","63","21","-"
"103","George Banko - Fantasy Football Helpers","95","92","104","106","77","61","-"
"104","Staff Rankings - The Fake Football","90","104","100","107","-","-","-"
"105","Kelly Smelser - Punch Drunk Wonderland","106","90","105","109","68","85","12"
"106","Nick Raducanu - Dr. Roto","111","48","109","111","-","-","-"
"107","Mike Krueger - FFToday","107","107","108","102","73","70","-"
"108","James Rapien - Get Sports Info","105","109","111","105","-","-","-"
"109","Chris Meyers - Athlon Sports","110","111","107","110","-","-","-"
"-","KJ - Fantasy Team Advice","104","-","-","95","-","-","-"
"-","Mitchell Renz - Gridiron Experts","108","50","110","-","-","-","-"
"-","Des Bieler - The Washington Post","-","69","83","78","-","-","-"
"-","Bill Dubiel - RotoBaller","-","-","-","-","71","82","-"
"-","Ryan Sitzmann - The IDP Guru","-","-","-","-","-","-","2"
"-","Walton Spurlin - FantasyPros","-","-","-","-","-","-","5"
"-","Mike Monk - IDP Monk","-","-","-","-","-","-","11"
"-","Site Rankings - 4for4","-","-","-","-","-","-","7"
""
""
