"Rank","Expert Name","QB","RB","WR","TE","K","DST","IDP"
"93","Curtis Patrick - Pro Football Focus","91","101","52","123","-","-","-"
"94","Mauricio Gutierrez - Estadio Fantasy","126","52","81","90","73","36","6"
"95","Davis Mattek - Underdog Fantasy","98","64","98","140","-","-","-"
"96","Mike Harmon - Swollen Dome","94","115","12","148","33","9","-"
"97","Jack Delaney - Just Fantasy Football","92","123","49","37","-","-","-"
"98","","34","99","136","42","60","71","19"
"99","Doug Orth - FFToday","106","61","108","114","-","-","-"
"100","Andrew Gould - FantasyPros","100","85","109","85","35","29","-"
"101","Michael Beller - The Athletic","6","136","87","132","12","46","-"
"102","Jeff Johnson - Fantasy Insiders","113","113","53","34","-","107","-"
"103","Tozzi Brothers - Legion Report","146","29","118","60","-","97","-"
"104","Jared Smola - Draft Sharks","127","105","44","97","57","60","-"
"105","Tim Jablonski - The Hateful 8","122","67","95","143","49","128","-"
"106","Zach Brunner - FlurrySports","102","114","106","54","106","-","-"
"107","Jason Willan - Gridiron Experts","80","40","146","141","14","85","-"
"108","Raju Byfield - WinMyFantasyLeague","145","55","101","104","-","-","11"
"109","Matt Schauf - Draft Sharks","118","127","29","79","75","111","1"
"110","Kyle Kontos - Double K Football","37","145","65","38","8","24","-"
"111","Donald Gibson - FantasyPros","144","78","66","142","108","55","-"
"112","Corey Parson - Sports Illustrated","81","119","122","80","-","54","-"
"113","Brett Talley - Fantasy Alarm","148","66","75","134","-","-","-"
"114","Mitchell Renz - Gridiron Experts","42","131","132","25","116","123","-"
"115","Muntradamus - Beast Dome","76","112","134","127","29","110","21"
"116","Andrew Ferris - Fantasy Hot Read","61","122","131","139","80","125","-"
"117","Andrew Erickson - FantasyPros","95","84","119","153","105","101","-"
"118","Liz Loza - LizLoza_FF","151","128","2","55","62","57","-"
"119","Chet Gresham - SB Nation","79","92","139","147","67","92","-"
"120","Wayne Bretsky - BretskyBall","88","129","120","78","70","37","-"
"121","TJ Calkins - DFS Power Hour","115","118","113","101","109","103","-"
"122","Heath Capps - Fake Teams","136","62","147","8","41","35","-"
"123","Anthony Staggs - 4for4","77","133","115","115","89","100","-"
"124","Adam Rank - NFL.com","107","121","130","94","47","31","-"
"125","Kyle August - Fantasy Football Smackdown","13","132","141","135","101","116","-"
"126","Heath Cummings - CBS Sports","131","117","112","117","54","98","-"
"127","Site Rankings - Gridiron Experts","130","124","124","22","-","115","9"
"128","James Rapien - Get Sports Info","17","152","125","10","107","51","-"
"129","James Hatfield - Hatty Waiver Wire Guru","134","111","128","92","102","66","-"
"130","George Kurtz - RotoExperts","109","137","100","119","111","23","-"
"131","Brent Namejko - Fantasy Smack Talk","142","125","133","3","-","93","-"
"132","Scott Smith - RotoViz","120","109","144","111","-","-","-"
"133","Brad Richter - DailyOverlay","141","100","145","18","48","84","-"
"134","Staff Rankings - Fantasy Knuckleheads","143","130","91","110","82","21","-"
"135","Anthony Cervino - FF Faceoff","114","108","148","122","13","15","-"
"136","Derek Brown - FantasyPros","22","148","142","113","-","121","-"
"137","Seth McKinley - FF Fellas","43","138","149","124","-","-","-"
"138","Mike Alexander - Friends With Fantasy Benefits","139","146","61","137","123","114","-"
"139","Kelly Smelser - Punch Drunk Wonderland","110","143","135","128","85","72","24"
"140","Dale DeMott - Eat.Sleep.Fantasy","147","149","137","4","-","-","-"
"141","Anthony Amico - In the Aggregate","124","139","138","151","16","133","-"
"142","Kyle Richardson - The Fantasy Headliners","133","134","150","120","113","77","14"
"143","Jacob Hubman - The Fantasy Headliners","125","153","127","108","100","47","-"
"144","Rudy Gamble - Razzball","152","103","154","130","30","129","25"
"145","Mike Randle - FTN","123","135","153","150","74","14","5"
"146","Nando Di Fino - The Athletic","154","141","129","30","63","64","-"
"147","Smitty - TheFantasyFootballShow","155","147","110","1","-","-","-"
"148","Chris Meyers - Athlon Sports","153","140","143","57","122","118","-"
"149","Dariyan Maybury - Fantasy Football Advice","132","154","140","125","65","130","-"
"150","Dominick Petrillo - The Athletic","138","142","151","154","-","105","-"
"151","Staff Rankings - QB List","137","151","152","149","-","-","16"
"152","Nate Hamilton - The Game Day","116","155","121","47","-","-","-"
"153","Armando Crespo - Eat.Sleep.Fantasy","140","144","155","152","103","-","-"
"154","Jeff Zimmerman - FanGraphs","156","150","156","155","119","126","-"
"-","Site Rankings - 4for4","-","-","-","-","-","-","7"
"-","Walton Spurlin - FantasyPros","-","-","-","-","-","-","3"
"-","Mike Monk - IDP Monk","-","-","-","-","-","-","17"
"-","Ryan Sitzmann - The IDP Guru","-","-","-","-","-","-","13"
"-","Adam Ronis - Fantasy Alarm","59","69","47","-","46","53","-"
"-","Jeremy Maw - Going For 2","33","-","74","109","-","120","-"
""
""
