"Rank","Expert Name","QB","RB","WR","TE","K","DST","IDP"
"1","Jeff Ratcliffe - FTN","3","12","11","18","-","-","-"
"2","Jake Ciely - The Athletic","25","10","6","4","-","37","-"
"3","Dan Harris - FantasyPros","8","16","4","37","7","74","-"
"4","Mike MacGregor - Draft Buddy","1","59","2","2","64","4","-"
"5","Nathan Jahnke - Pro Football Focus","23","14","9","7","6","36","9"
"6","Kevin Hanson - EDSFootball","35","5","5","28","19","54","-"
"7","Sean Koerner - The Action Network","9","4","19","39","4","33","-"
"8","Bart Wheeler - Hail to Fantasy Football","12","1","47","77","14","101","-"
"9","Nick Mariano - RotoBaller","10","7","30","8","45","47","-"
"10","John Paulsen - 4for4.com","5","18","23","55","-","-","-"
"11","Alex Godshall - Hooyah Sports","15","22","3","71","-","17","-"
"12","Matthew Hill - DataForce Fantasy Football","32","2","22","44","-","-","-"
"13","Anthony Cervino - FF Faceoff","2","36","41","3","-","-","-"
"14","Matthew Freedman - Fantasy Life","36","26","7","25","11","38","-"
"15","Patrick Thorman - Establish the Run","31","27","14","16","25","75","-"
"16","Tommy Garrett - SharpLinkHQ","6","15","44","94","18","91","-"
"17","Jody Smith - FullTime Fantasy","42","31","13","12","46","21","-"
"18","Jared Smola - Draft Sharks","24","23","39","10","57","60","-"
"19","Rob Waziak - Fantasy Life","70","25","8","13","-","-","-"
"20","Mick Ciallela - Fantrax","113","9","1","60","23","50","-"
"21","Fantasy BR - Staff Rankings","61","13","18","54","-","-","7"
"22","Dennis Sosic - Fantasy Six Pack","37","29","21","45","68","9","13"
"23","Francisco (Chato) Romero - Estadio Fantasy","68","6","24","70","27","55","-"
"24","Joe Bond - Fantasy Six Pack","66","19","17","53","29","13","-"
"25","Craig Phillips - FF Prophet","19","11","37","110","-","-","-"
"26","Andy Singleton - Expand The Boxscore","50","32","16","34","12","7","5"
"27","Dave Major - XN Sports","21","48","26","27","-","-","-"
"28","Andy Holloway - The Fantasy Footballers","54","41","20","11","-","-","-"
"29","Jason Moore - The Fantasy Footballers","44","35","25","41","-","70","-"
"30","Chris Kennedy - Dr. Roto","20","47","15","76","38","23","-"
"31","Pat Fitzmaurice - FantasyPros","40","28","29","58","26","45","-"
"32","Elisha Twerski - USA Today","22","30","58","29","-","-","-"
"33","Chris Raybon - The Action Network","41","20","56","43","43","58","-"
"34","Billy Muzio - PlayerProfiler.com","45","3","83","50","-","-","-"
"35","Chalk - The Undroppables","38","37","28","88","-","-","-"
"36","Dalton Del Don - Yahoo","27","64","31","15","75","96","-"
"37","Jason Willan - Gridiron Experts","11","44","72","14","17","77","-"
"38","Justin Sablich - 5th Down Fantasy","63","60","10","38","13","15","-"
"39","Zach Greubel - Gridiron Experts","76","38","40","21","-","-","-"
"40","Mike Wright - The Fantasy Footballers","28","56","35","73","-","-","-"
"41","Ken Zalis - FantasyPros","75","42","43","23","67","64","-"
"42","Ben Wasley - The Fantasy First Down","57","53","54","5","5","8","2"
"43","Bill Enright - Sports Illustrated","26","61","60","30","-","-","-"
"44","Anthony Staggs - 4for4","73","57","38","40","-","-","-"
"45","Mauricio Gutierrez - Estadio Fantasy","59","21","77","95","36","76","-"
"46","David Biggs - Drink Five","62","49","33","96","79","32","-"
"47","Richard King - King Fantasy Sports","16","108","49","1","73","28","-"
"48","Joey Wright - Footballguys","72","17","74","117","10","40","-"
"49","Allie Fontana - Fighting Chance Fantasy","30","92","32","47","24","22","-"
"50","Dan Clasgens - Get Sports Info","13","52","61","138","76","85","-"
"51","Richard Cooling - 5 Yard Rush","14","102","12","120","9","43","-"
"52","Scott Whitfield - Roto Rankings","47","24","89","111","-","-","-"
"53","Tozzi Brothers - Legion Report","7","77","63","97","-","-","-"
"54","Jacob Gibbs - SportsLine","18","87","64","35","-","-","-"
"55","Jamie Calandro - RotoBaller","83","34","82","46","-","-","-"
"56","Ryan Noonan - 4for4","43","65","70","68","-","-","-"
"57","Andrew Seifter - FantasyPros","88","8","114","33","1","16","-"
"58","Frank Stampfl - CBS Sports","51","67","48","121","-","-","-"
"59","Justin Dodds - SleeperWire","77","50","67","74","-","-","-"
"60","Zach Brunner - FlurrySports","87","68","55","26","44","65","-"
"61","Kev Wheeler - Wheel Route FF","94","69","27","108","-","-","-"
"62","Rich Piazza - Fantasy Shed","33","76","52","126","-","-","-"
"63","Matt De Lima - DraftKings","86","55","50","93","-","-","3"
"64","Chris Meaney - FTN","17","51","98","105","-","-","-"
