"Rank","Expert Name","QB","RB","WR","TE","K","DST","IDP"
"1","Pat Fitzmaurice - FantasyPros","1","3","25","15","23","45","-"
"2","Nathan Jahnke - Pro Football Focus","25","2","9","7","11","12","6"
"3","Joe Bond - Fantasy Six Pack","20","6","8","21","12","7","-"
"4","John Paulsen - 4for4.com","17","7","12","55","-","-","-"
"5","Justin Boone - theScore","8","22","2","58","26","31","-"
"6","Jeff Ratcliffe - FTN","3","26","5","49","-","-","2"
"7","Andy Holloway - The Fantasy Footballers","39","20","4","8","-","-","-"
"8","Patrick Thorman - Establish the Run","21","23","11","18","27","40","-"
"9","Kevin Hanson - EDSFootball","15","5","26","30","14","26","-"
"10","Jared Smola - Draft Sharks","14","1","48","9","30","43","-"
"11","Chris Raybon - The Action Network","4","18","58","1","-","14","-"
"12","Sean Koerner - The Action Network","99","11","1","3","3","2","-"
"13","Rob Waziak - Fantasy Life","19","21","14","27","-","-","-"
"14","Dave Major - XN Sports","26","17","20","22","-","-","-"
"15","Dan Harris - FantasyPros","38","14","22","11","5","3","-"
"16","Zach Greubel - Gridiron Experts","46","13","6","91","-","-","-"
"17","Jody Smith - FullTime Fantasy","37","36","13","25","41","37","-"
"18","Jason Moore - The Fantasy Footballers","33","29","15","28","-","-","-"
"19","Mike Tagliere - FantasyPros","71","9","16","24","68","19","-"
"20","Ryan Noonan - 4for4","23","53","3","65","-","-","-"
"21","Ken Zalis - FantasyPros","67","42","10","12","55","76","-"
"22","Kev Wheeler - Wheel Route FF","54","4","31","80","-","-","-"
"23","Mike Wright - The Fantasy Footballers","41","19","33","35","-","-","-"
"24","Ben Wasley - The Fantasy First Down","59","8","38","34","1","48","3"
"25","Nick Humphreys - Fantasy Victors","72","12","18","71","-","-","-"
"26","Bart Wheeler - Hail to Fantasy Football","11","38","28","88","2","24","-"
"27","Dylan Chappine - Wolf Sports","10","46","34","47","21","13","-"
"28","Dennis Sosic - Fantasy Six Pack","32","44","27","29","18","34","11"
"29","Wolf of Roto Street - Roto Street Journal","18","24","41","89","69","78","-"
"30","Mike MacGregor - Draft Buddy","6","25","54","64","4","72","-"
"31","Elisha Twerski - USA Today","96","28","19","4","-","62","-"
