"Rank","Expert Name","QB","RB","WR","TE","K","DST","IDP"
"1","Justin Boone - theScore","20","6","2","8","14","7","-"
"2","John Paulsen - 4for4.com","27","2","23","10","-","-","-"
"3","Nathan Jahnke - Pro Football Focus","32","1","12","21","39","58","-"
"4","Chris Raybon - The Action Network","14","5","5","54","-","-","-"
"5","Joe Bond - Fantasy Six Pack","28","3","11","34","15","3","-"
"6","Jason Moore - The Fantasy Footballers","12","12","7","23","-","-","-"
"7","Dan Harris - FantasyPros","24","4","17","39","4","44","-"
"8","Jeff Ratcliffe - FTN","30","7","19","20","20","69","2"
"9","Jake Ciely - The Athletic","4","9","13","95","-","1","-"
"10","Patrick Thorman - Establish the Run","8","20","27","15","6","59","-"
"11","Andy Holloway - The Fantasy Footballers","46","10","6","7","-","-","-"
"12","Mike Tagliere - FantasyPros","1","39","24","33","54","5","4"
"13","Sean Koerner - The Action Network","33","8","15","53","5","33","-"
"14","Rob Waziak - Fantasy Life","26","35","1","67","17","15","-"
"15","Anthony Cervino - FF Faceoff","7","11","53","50","-","-","-"
"16","Tim Jablonski - The Hateful 8","21","16","46","36","38","18","-"
"17","Dylan Chappine - Wolf Sports","18","46","20","24","10","10","-"
"18","Bill Enright - Sports Illustrated","45","33","4","22","-","-","-"
"19","Jared Smola - Draft Sharks","44","15","8","73","3","75","-"
"20","Mike Wright - The Fantasy Footballers","36","30","26","18","-","-","-"
"21","Pat Fitzmaurice - FantasyPros","39","23","16","80","13","50","-"
"22","Dave Major - XN Sports","19","37","25","77","-","-","-"
"23","Kev Wheeler - Wheel Route FF","3","55","58","4","74","77","-"
"24","Brett Talley - Fantasy Alarm","13","40","44","42","28","16","-"
"25","Tozzi Brothers - Legion Report","59","25","18","52","-","40","-"
"26","Brandon Murchison - RotoBaller","17","72","9","25","24","70","-"
"27","Scott Whitfield - Roto Rankings","41","27","35","40","-","-","-"
"28","Eric Moody - Pro Football Network","68","32","3","65","36","13","-"
"29","Scott Smith - RotoViz","34","13","65","27","-","-","-"
"30","Andy Singleton - Expand The Boxscore","75","14","32","46","7","19","5"
"31","Scott Barrett - Fantasy Points","47","29","48","13","-","-","-"
"32","Mauricio Gutierrez - Estadio Fantasy","77","21","21","62","11","52","8"
"33","Ryan Noonan - 4for4","57","52","10","37","-","-","-"
"34","Zach Greubel - Gridiron Experts","35","26","45","89","-","-","-"
"35","Dan Clasgens - Get Sports Info","37","18","70","14","44","22","-"
"36","Ken Zalis - FantasyPros","79","17","34","61","62","37","-"
"37","Jody Smith - FullTime Fantasy","5","53","73","12","63","12","-"
"38","Jacob Gibbs - SportsLine","23","50","50","76","-","-","-"
"39","Davis Mattek - Underdog Fantasy","73","28","38","59","-","-","-"
"40","Nick Mariano - RotoBaller","50","44","49","32","8","46","-"
"41","Kevin Hanson - EDSFootball","76","31","47","31","55","47","-"
"42","Matt De Lima - DraftKings","42","43","41","100","-","14","3"
"43","Matthew Freedman - Fantasy Life","58","51","33","70","64","57","-"
"44","Brendan Donahue - Sharp Football Analysis","64","42","51","55","-","-","-"
"45","","51","49","39","87","31","51","-"
"46","Rudy Gamble - Razzball","9","66","77","17","2","79","-"
"47","Elisha Twerski - USA Today","90","34","55","16","-","34","-"
"48","Allie Fontana - Fighting Chance Fantasy","48","58","56","49","12","32","-"
"49","Zach Brunner - FlurrySports","97","48","29","38","49","65","-"
"50","Kyle Richardson - The Fantasy Headliners","25","103","28","28","-","-","-"
"51","Greg Smith - Superflex.Guide","74","22","87","3","1","26","-"
"52","Matthew Hill - DataForce Fantasy Football","82","41","36","99","-","35","-"
"53","Chris Meaney - FTN","54","63","54","58","22","48","-"
"54","Frank Stampfl - CBS Sports","62","79","40","29","-","11","-"
"55","Staff Rankings - Daily Roto","2","45","119","30","46","60","-"
