,expert,max_year,min_year,num_years,rank,less_years,avg_rank_by_year
108,Jake Arthur,2023,2018,6,653,-1,108.83333333333333
109,Mike Maher,2023,2020,4,437,-3,109.25
110,Kevin Roberts,2023,2017,7,766,0,109.42857142857143
111,Andy Vanda,2023,2018,6,660,-1,110.0
112,Mike Randle,2023,2018,6,661,-1,110.16666666666667
113,Raju Byfield,2023,2018,6,666,-1,111.0
114,Smitty,2023,2017,7,781,0,111.57142857142857
115,Chet Gresham,2023,2017,8,894,1,111.75
116,Adam Murfet,2023,2020,4,450,-3,112.5
117,Andersen Pickard,2023,2021,3,340,-4,113.33333333333333
118,Richard King,2023,2019,5,592,-2,118.4
119,Kyle Yates,2023,2019,5,597,-2,119.4
120,Matt Schauf,2023,2017,7,837,0,119.57142857142857
121,Nick Bretwisch,2023,2021,3,360,-4,120.0
122,Michael Tomlin,2023,2017,7,841,0,120.14285714285714
123,Derek Lofland,2023,2017,7,846,0,120.85714285714286
124,Kyle August,2023,2018,6,731,-1,121.83333333333333
125,Ellis Johnson,2023,2020,4,490,-3,122.5
126,KJ,2023,2017,6,735,-1,122.5
127,Kyle Richardson,2023,2018,6,740,-1,123.33333333333333
128,Nate Marcum,2023,2021,3,370,-4,123.33333333333333
129,Bradley Stalder,2023,2021,3,376,-4,125.33333333333333
130,Mark Ross,2023,2019,5,628,-2,125.6
131,Muntradamus,2023,2017,7,883,0,126.14285714285714
132,Brandon Murchison,2023,2018,5,635,-2,127.0
133,Dan Larocca,2023,2021,3,383,-4,127.66666666666667
134,Chris Dell,2023,2020,4,514,-3,128.5
135,Heath Capps,2023,2017,7,921,0,131.57142857142858
136,Guilherme Gianni,2023,2021,3,409,-4,136.33333333333334
137,Dave McKay,2023,2017,7,965,0,137.85714285714286
138,Jamie Calandro,2023,2019,5,693,-2,138.6
139,Matt Harmon,2023,2020,4,564,-3,141.0
140,Blake Fincher,2023,2019,5,709,-2,141.8
141,Kyle Senra,2023,2021,3,430,-4,143.33333333333334
142,Kevin Steele,2023,2017,4,581,-3,145.25
143,Morgan Colby,2023,2020,4,581,-3,145.25
144,Aaron Larson,2023,2020,4,582,-3,145.5
145,Huseyin Aksu,2023,2017,6,882,-1,147.0
146,Craig Phillips,2023,2017,6,883,-1,147.16666666666666
147,Ryan Hicks,2023,2021,3,442,-4,147.33333333333334
148,Michael Petropoulos,2023,2019,5,743,-2,148.6
149,Ricky Lemon,2023,2021,3,451,-4,150.33333333333334
150,Bo McBrayer,2023,2021,3,452,-4,150.66666666666666
151,Jaime Eisner,2023,2021,3,457,-4,152.33333333333334
152,Wayne Bretsky,2023,2017,7,1067,0,152.42857142857142
153,Donkey Teeth,2023,2020,4,621,-3,155.25
154,Tal Malachovsky,2023,2020,4,623,-3,155.75
155,Jordan Rains,2023,2019,5,783,-2,156.6
156,Adrian Alpanseque,2023,2020,4,633,-3,158.25
157,Dave Kluge,2023,2020,4,635,-3,158.75
158,Aaron Schill,2023,2021,3,491,-4,163.66666666666666
159,Geoff Lambert,2023,2019,4,661,-3,165.25
160,David Mendelson,2023,2021,3,496,-4,165.33333333333334
161,John Hesterman,2023,2020,4,668,-3,167.0
162,Derek Brown,2023,2018,3,512,-4,170.66666666666666
163,Joe Pisapia,2023,2021,3,516,-4,172.0
164,Robby Jeffries,2023,2020,4,689,-3,172.25
165,Corbin Young,2023,2021,3,526,-4,175.33333333333334
166,Tim Petropoulos,2023,2020,4,727,-3,181.75
167,David Heilman,2023,2021,3,561,-4,187.0
168,Wyatt Bertolone,2023,2021,3,564,-4,188.0
169,Daniel Mader,2023,2020,4,786,-3,196.5
170,Mark Ringo,2023,2020,4,828,-3,207.0
171,Adam Pelletier,2023,2021,3,652,-4,217.33333333333334
172,Connor Rigg,2023,2021,3,655,-4,218.33333333333334
